2025-09-20 09:23:00 | INFO     | __main__:main:141 | Documentación API: http://0.0.0.0:8990/docs
2025-09-20 09:23:00 | INFO     | __main__:main:142 | Demo WebRTC: http://0.0.0.0:8990/
2025-09-20 09:23:00 | INFO     | __main__:main:145 | Cámaras RTSP configuradas: 1
2025-09-20 09:23:00 | INFO     | __main__:main:147 |   - camera_1: Cámara de Prueba
2025-09-28 13:29:51 | INFO     | __main__:setup_logging:54 | Sistema de logging configurado
2025-09-28 13:29:51 | INFO     | __main__:main:111 | 🎥 Iniciando RTSP to WebRTC API
2025-09-28 13:29:51 | INFO     | __main__:main:112 | Versión: 1.0.0
2025-09-28 13:29:51 | INFO     | __main__:main:113 | Entorno: development
2025-09-28 13:29:52 | INFO     | __main__:check_dependencies:67 | OpenCV versión: 4.12.0
2025-09-28 13:29:53 | INFO     | __main__:check_dependencies:74 | python-socketio disponible
2025-09-28 13:29:53 | INFO     | __main__:main:140 | Servidor iniciando en http://0.0.0.0:8990
2025-09-28 13:29:53 | INFO     | __main__:main:141 | Documentación API: http://0.0.0.0:8990/docs
2025-09-28 13:29:53 | INFO     | __main__:main:142 | Demo WebRTC: http://0.0.0.0:8990/
2025-09-28 13:29:53 | INFO     | __main__:main:145 | Cámaras RTSP configuradas: 1
2025-09-28 13:29:53 | INFO     | __main__:main:147 |   - camera_1: Cámara de Prueba
2025-09-28 13:32:34 | INFO     | __main__:signal_handler:59 | Señal 2 recibida, cerrando aplicación...
2025-09-28 13:32:34 | INFO     | __main__:main:162 | Aplicación finalizada
2025-09-28 13:45:17 | INFO     | __main__:setup_logging:54 | Sistema de logging configurado
2025-09-28 13:45:17 | INFO     | __main__:main:111 | 🎥 Iniciando RTSP to WebRTC API
2025-09-28 13:45:17 | INFO     | __main__:main:112 | Versión: 1.0.0
2025-09-28 13:45:17 | INFO     | __main__:main:113 | Entorno: development
2025-09-28 13:45:17 | INFO     | __main__:check_dependencies:67 | OpenCV versión: 4.12.0
2025-09-28 13:45:17 | INFO     | __main__:check_dependencies:74 | python-socketio disponible
2025-09-28 13:45:17 | INFO     | __main__:main:140 | Servidor iniciando en http://0.0.0.0:8990
2025-09-28 13:45:17 | INFO     | __main__:main:141 | Documentación API: http://0.0.0.0:8990/docs
2025-09-28 13:45:17 | INFO     | __main__:main:142 | Demo WebRTC: http://0.0.0.0:8990/
2025-09-28 13:45:17 | INFO     | __main__:main:145 | Cámaras RTSP configuradas: 2
2025-09-28 13:45:17 | INFO     | __main__:main:147 |   - camera_1: Wowza Test Stream
2025-09-28 13:45:17 | INFO     | __main__:main:147 |   - camera_2: Big Buck Bunny
2025-09-28 13:54:07 | INFO     | __main__:main:162 | Aplicación finalizada
2025-09-28 13:54:25 | INFO     | __main__:setup_logging:54 | Sistema de logging configurado
2025-09-28 13:54:25 | INFO     | __main__:main:111 | 🎥 Iniciando RTSP to WebRTC API
2025-09-28 13:54:25 | INFO     | __main__:main:112 | Versión: 1.0.0
2025-09-28 13:54:25 | INFO     | __main__:main:113 | Entorno: development
2025-09-28 13:54:25 | INFO     | __main__:check_dependencies:67 | OpenCV versión: 4.12.0
2025-09-28 13:54:25 | INFO     | __main__:check_dependencies:74 | python-socketio disponible
